STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完善
STR_GRAPH_CARGO_PAYMENT_RATES_TITLE_AVG_SPEED                   :{TINY_FONT}{BLACK}将 1 单位（或 1,000 升）货物运输 200 格的收入
STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_MINUTES                   :{TINY_FONT}{BLACK}运输分钟数
STR_GRAPH_STATION_CARGO_CAPTION                                 :{WHITE}{STATION} - 滞留货物历史
STR_GRAPH_STATION_CARGO_X_LABEL_DAYS                            :{TINY_FONT}{BLACK}过去 {NUM} 天内的发展
STR_GRAPH_STATION_CARGO_X_LABEL_SECONDS                         :{TINY_FONT}{BLACK}过去 {NUM} 秒内的发展
STR_GRAPH_STATION_CARGO_TITLE                                   :{TINY_FONT}{BLACK}站内滞留货物单位

STR_GRAPH_CARGO_SPEED_MODE                                      :{TINY_FONT}{BLACK}平均速度
STR_GRAPH_CARGO_TOOLTIP_TIME_MODE                               :{BLACK}在图表横轴显示运输所耗时间
STR_GRAPH_CARGO_TOOLTIP_SPEED_MODE                              :{BLACK}在图表横轴显示平均运输速度

STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE                       :{TINY_FONT}{BLACK}公司
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE                         :{TINY_FONT}{BLACK}货物
STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE_TOOLTIP               :{BLACK}显示每间公司的总运输量
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE_TOOLTIP                 :{BLACK}显示每种货物的总运输量

STR_GRAPH_LAST_72_PRODUCTION_INTERVALS_TIME_LABEL               :{TINY_FONT}{BLACK}过去 72 个生产周期

STR_SMALLMAP_SCREENSHOT                                         :{BLACK}截图

STR_NEWS_VEHICLE_NO_DEPOT_ORDER                                 :{WHITE}{VEHICLE} 的调度计划中没有车库
STR_NEWS_TRAIN_OVERSHOT_STATION                                 :{WHITE}{VEHICLE} 由于超速无法停在 {STRING}

STR_NEWS_ROAD_REBUILDING_PERIODS                                :{BIG_FONT}{BLACK}{TOWN} 的交通混乱！{}{}由 {STRING} 资助的道路重建项目给司机带来了半个周期的交通混乱！
STR_NEWS_EXCLUSIVE_RIGHTS_DESCRIPTION_PERIOD                    :{BIG_FONT}{BLACK}{TOWN} 地方政府与 {STRING} 签订时长一周期的专属经营权合同！

STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM_LABEL   :自定义间隔（现实分钟）
STR_GAME_OPTIONS_AUTOSAVE_MINUTES_QUERY_CAPT                    :{WHITE}以现实分钟计的自动保存间隔

STR_CONFIG_SETTING_ADVISED_LEAVE_DEFAULT                        :建议将此设置保留为默认值

STR_CONFIG_SETTING_TRAIN_BRAKING_REALISTIC                      :真实{PUSH_COLOUR}{RED}（专家）{POP_COLOUR}
STR_CONFIG_SETTING_TRAIN_BRAKING_ASPECT_LIMITED_ON              :开{PUSH_COLOUR}{RED}（专家、困难）{POP_COLOUR}

STR_CONFIG_SETTING_REALISTIC_BRAKING_SIGNALS_NOT_ALLOWED        :{WHITE}无法启用真实制动，尚存有至少一个逻辑信号或双向信号。

STR_CONFIG_SETTING_DELIVERY_BALANCED                            :平衡

STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT                       :车库内载具运营费用：{STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_HELPTEXT              :设置不在站停放的载具的维护及运转支出
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_VALUE                 :1 / {COMMA}

STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED                   :车站内载具运营费用：{STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_HELPTEXT          :设置等待在车站中未停运载具的维护及运转支出
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_VALUE             :1 / {COMMA}

STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER                      :联机玩家使用现金作弊：{STRING}
STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER_HELPTEXT             :启用时允许联机玩家使用现金作弊{}单机游戏以及服务器管理员始终可用

STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER                     :联机玩家重新命名城镇：{STRING}
STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER_HELPTEXT            :启用时允许联机玩家重命名城镇{}单机游戏以及服务器管理员始终可用

STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER           :联机玩家重设城镇设定：{STRING}
STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER_HELPTEXT  :启用时允许联机玩家重设城镇设定{}单机游戏以及服务器管理员始终可用

STR_CONFIG_SETTING_CATCHMENT_INCREASE                           :增加车站覆盖半径：{STRING}
STR_CONFIG_SETTING_CATCHMENT_INCREASE_HELPTEXT                  :增加此格数的车站覆盖半径

STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME         :货物类别影响车站评价及时间宽容度：{STRING}
STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME_HELPTEXT:启用时货物的类别将影响车站评价{}乘客、邮件、贵重品、食物和货物将要求更短的等待时长，散装和液体货物更为宽容

STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT             :车站大小影响车站容量及时间宽容度：{STRING}
STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT_HELPTEXT    :启用时则车站大小将影响车站评价{}更大的车站可以储存更多的货物并有更大的时间宽容度

STR_CONFIG_SETTING_CARGO_DELIVERY_MODE                          :货物分配模式：{STRING}
STR_CONFIG_SETTING_CARGO_DELIVERY_MODE_HELPTEXT                 :向周边工业分配货物的方法

STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL                          :列车制动模型：{STRING}
STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL_HELPTEXT                 :选择列车制动的物理模型。“原版”模型允许列车立即停止。在“真实”模型中，列车拥有停止距离并需要供停止用的预留量，且无法立即停车{}{}“真实”模型对于信号和轨道的布局设计有显著的影响{}{PUSH_COLOUR}{GOLD}在此模式下只能使用路径信号{POP_COLOUR} #TODO

STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED             :制动方向限制：{STRING}
STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED_HELPTEXT    :在真实列车制动模型中，在信号方向限制列车的前方观察能力（即，不允许观察和预测前方的无限数量的信号）{}这需要 NewGRF 提供多相信号{}{}这是一个高阶设置并将增加游戏难度，需要考虑信号类型及其放置位置

STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION                     :限制列车加速：{STRING}
STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION_HELPTEXT            :在使用真实列车减速模型时，同时限制列车的最大加速度

STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT                    :列车加速/制动缩放因子：{STRING}
STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT_HELPTEXT           :列车加速制动的调整比例。{}{}该设置可以在不改变列车最高速度的情况下，用于调整列车的加速和制动。
STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT_VALUE              :{COMMA}%

STR_CONFIG_SETTING_TRACK_EDIT_IGNORE_REALISTIC_BRAKING          :修改轨道时忽略真实制动：{STRING}
STR_CONFIG_SETTING_TRACK_EDIT_IGNORE_REALISTIC_BRAKING_HELPTEXT :允许在修改轨道时忽略真实制动。启用后将不会强制根据轨道占用情况而禁止修改轨道。这可能会导致不真实的列车制动行为。

STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT                     :通过装载式最高速度：{STRING}
STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT_HELPTEXT            :列车在车站通过装载时的最高允许速度

STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT                       :铁路车库最高速度：{STRING}
STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT_HELPTEXT              :列车进出车库所允许的最高速度

STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME                :多机车列车保留自定义机车名：{STRING}
STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME_HELPTEXT       :当一列列车中有多个机车时，保留其余机车的自定义名称

STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING                :寻路至单向路径信号的背面：{STRING}
STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING_HELPTEXT       :启用之后允许 YAPF 寻路器寻路至单向路径信号的背面

STR_CONFIG_SETTING_INFLATION_FIXED_DATES                        :在 1920 年与 2090 年期间应用通货膨胀：{STRING}
STR_CONFIG_SETTING_INFLATION_FIXED_DATES_HELPTEXT               :当启用时，不管游戏是在哪年进行的，通胀将在 1920 到 2090 年间始终持续，这是 OpenTTD 1.11 以来所使用的通胀模型{}如果禁用，通胀将会在游戏开始后 170 年里不断持续，这是一直使用到 OpenTTD 1.10 的模型

STR_CONFIG_SETTING_IMPROVED_BREAKDOWNS                          :启用高级载具故障：{STRING}

STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE                     :船舶之间避免冲突：{STRING}
STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE_HELPTEXT            :启用时船舶将尝试避免互相穿过。本项在禁止船舶 90 度转向时效果最好

STR_CONFIG_SETTING_CHUNNEL                                      :允许建设水下隧道：{STRING}
STR_CONFIG_SETTING_CHUNNEL_HELPTEXT                             :启用后可以在海平面下建设隧道。建设时隧道两端必须有宽度在 {NUM} 与 {NUM} 格之间的间隙

STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY                 :不同公司列车不会互相碰撞：{STRING}
STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY_HELPTEXT        :这是为了防止熊孩子故意在多人游戏中撞毁他人的列车

STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING               :允许铰链式道路车辆超车：{STRING}
STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING_HELPTEXT      :允许铰链式道路车辆超车

STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL                  :阻止道路车辆在堵车时穿越其他车辆：{STRING}
STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL_HELPTEXT         :即使道路长时间堵车也不允许道路车辆穿越其他的道路车辆

STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT                    :直通车辆段：{STRING}
STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT_HELPTEXT           :启用直通车辆段{}列车可以在背对背的两个车库之间穿越，并且可以穿越两个车库之间的所有车库{}这需要启用 YAPF 寻路器

STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE                :在列车因为寻路限制长时间等待时提示：{STRING}
STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE_HELPTEXT       :当被启用时，如果列车长时间在路径信号处等待，给出提示

STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER                          :在载具没有回库计划时提示：{STRING}
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_HELPTEXT                 :启用时，若车损已开启，则在列车、道路载具、船舶的时刻表中没有入库计划时提示
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_IF_BREAKDOWNS_ON         :如果车损已开启

STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER                     :载具在 {STRING} 年后不会退场
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_HELPTEXT            :在此年份及之后退场的载具将不会退场。{}发动机可靠性的衰减也会停止。
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_VALUE               :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_ZERO                :关

STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER                  :载具在 {STRING} 年后不会登场
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_HELPTEXT         :在此年份及之后发明的载具将不会被发明。
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_VALUE            :{NUM}
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_ZERO             :关

STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR                        :在载具建造窗口中展示车厢发售年份：{STRING}
STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR_HELPTEXT               :在载具建造窗口添加一行，显示车厢的发售年份

STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS                 :在载具详情窗口显示长度：{STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS_HELPTEXT        :在载具详情窗口显示其长度

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS                :在载具详情窗口显示其所处组别：{STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS_HELPTEXT       :在载具详情页面显示其所处组别的名字

STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS          :在列车详情窗口显示列车重量比：{STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS_HELPTEXT :在列车详情窗口显示列车重量比

STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR                 :显示默认的限制信号（带蓝色信号杆）：{STRING}
STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR_HELPTEXT        :当使用默认信号图形时，带有寻路限制程序的电气信号将显示蓝色信号杆。这不会影响 NewGRF 信号图形。这样可以更容易地从视觉上区分限制信号。

STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF                             :使用默认图形显示所有信号：{STRING}
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT                    :使用默认信号图形显示所有信号，而不是使用任何 NewGRF 信号图形。当 NewGRF 提供的信号图形不清晰或无法访问时，这样可以更容易看到信号的状态和类型。
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT_EXTRA              :{STRING}{}“仅寻路限制信号”模式在启用信号柱重新着色且 NewGRF 本身不处理寻路限制信号的不同图形时，使用默认图像显示此种信号。
STR_CONFIG_SETTING_SHOW_ALL_SIG_RESTRICTED_RECOLOUR             :仅寻路限制信号

STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES             :显示高级寻路限制功能：{STRING}
STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES_HELPTEXT    :显示高级寻路限制功能。禁用时，某些高级功能不会在界面中显示，但所有玩家仍然可以使用。

STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES                        :显示可编程逻辑信号功能：{STRING}
STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES_HELPTEXT               :显示可编程逻辑信号功能。禁用时，构建和配置可编程逻辑信号的按钮不会在界面中显示，但所有玩家仍然可以使用。

STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES                     :显示禁止进入信号功能：{STRING}
STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES_HELPTEXT            :显示禁止进入信号功能。禁用时，构建和配置禁止进入信号的按钮不会在界面中显示，但所有玩家仍然可以使用。

STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES               :显示进阶装载模式功能：{STRING}
STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES_HELPTEXT      :展示进阶装载模式功能（通过式装载/卸载、道路车辆方向等）{}当禁用时，一些进阶装载模式功能将不会在用户界面中展示，但仍可用

STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS            :禁用一级载具列表的批量操作按钮：{STRING}
STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS_HELPTEXT   :本项禁用“所有载具”与“未分组载具”列表的部分按钮，包括“启停载具”与“前往车库”。本项旨在防止误操作带来的问题。

STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI                          :显示回库并卖出功能：{STRING}
STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI_HELPTEXT                 :显示回库并卖出功能，开启之后按住 <Ctrl> 键点击回库就可改变当前回库命令模式

STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE                 :共享调度计划的克隆结束后打开新载具窗口：{STRING}
STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE_HELPTEXT        :若已启用，则当在车库窗口克隆了一辆具有共享调度计划的载具时打开新克隆的载具的详情窗口

STR_CONFIG_SETTING_VEHICLE_NAMES                                :载具名：{STRING}
STR_CONFIG_SETTING_VEHICLE_NAMES_HELPTEXT                       :设置载具名使用的命名方案{}这不适用于有自定义名称的载具
STR_CONFIG_SETTING_VEHICLE_NAMES_TRADITIONAL                    :原版
STR_CONFIG_SETTING_VEHICLE_NAMES_MODERN                         :现代
STR_CONFIG_SETTING_VEHICLE_NAMES_LONG                           :较长

STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES                       :给斜坡上的树加强阴影：{STRING}
STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES_HELPTEXT              :使在较暗斜坡上的树木具有较深的颜色{}这有助于改善树木在山脉地区的观感表现

STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE                        :在摧毁结构前询问：{STRING}
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_HELPTEXT               :在摧毁部分重要结构之前询问
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_OFF                    :关闭
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_INDUSTRY               :工业
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_ALL                    :工业及铁路车站

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW              :将机车与车厢在列车购买窗口中分开：{STRING}
STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_HELPTEXT     :启用后列车购买窗口在分开的二栏列表中分别展示列机车和车厢

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_DUAL_BUTTONS :分别在列车购买窗口展示按钮组：{STRING}
STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_DUAL_BUTTONS_HELPTEXT :启用后在列车购买窗口的列机车和车厢列表中，它们共通的一组按钮会分别显示两次

STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL                    :隐藏路点标签：{STRING}
STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL_HELPTEXT           :启用后可以在路点窗口选择隐藏路点名称{}这在路点仅用于装饰时可以改善观感

STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION                      :禁用水体动画：{STRING}
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_HELPTEXT             :启用后在当前缩放大小是原始缩放大小缩放等级之外的情况下禁用水体动画效果{}启用之后可以防止在高倍缩放下的水体闪烁
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_8X                   :8 倍缩放及以上
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_16X                  :16 倍缩放及以上
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_32X                  :32 倍缩放及以上

STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT              :默认显示调度占用情况：{STRING}
STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT_HELPTEXT     :打开载具的调度计划窗口时默认显示每个调度的占用率

STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME                    :在名称中显示分组层级：{STRING}
STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME_HELPTEXT           :启用后，组别名称将包括所有父组名

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME            :在载具名称中显示分组层级：{STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME_HELPTEXT   :启用后，载具名称将包括所有父组名

STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW            :在载具窗口中显示当前调度顺序：{STRING}
STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW_HELPTEXT   :启用后将在载具状态栏中显示载具当前调度的顺序

STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW             :在车辆视图窗口中先显示速度：{STRING}
STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW_HELPTEXT    :启用后，在车辆视图窗口的启动/停止栏中先显示车辆速度，然后显示目的地。

STR_CONFIG_SETTING_SHORTEN_STATUS_VEHICLE_VIEW                  :缩短状态车辆视图窗口：{STRING}
STR_CONFIG_SETTING_SHORTEN_STATUS_VEHICLE_VIEW_HELPTEXT         :启用后，缩短用于显示目的地的文本，在车辆视图窗口的启动/停止栏中显示。

STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION                   :隐藏默认命令停止位置：{STRING}
STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION_HELPTEXT          :启用后，当命令停止位置与默认位置相同时，隐藏该位置。

STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL                              :显示铁路折线工具：{STRING}
STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL_HELPTEXT                     :启用后，铁路建设工具栏中包括一个按钮，用于使用折线模式建造。

STR_CONFIG_SHOW_VEHICLE_RUNNING_COSTS_CALENDAR_YEAR             :使用日历年/周期显示载具运行成本：{STRING}
STR_CONFIG_SHOW_VEHICLE_RUNNING_COSTS_CALENDAR_YEAR_HELPTEXT    :当使用大于一的经济速度因子时，使用日历年（日历计时模式）或周期（挂钟计时模式）显示载具运行成本，而不是使用“原始年”显示。

STR_CONFIG_SETTING_ADV_SIG_BRIDGE_TUN_MODES                     :启用桥隧信号高级模式：{STRING}
STR_CONFIG_SETTING_ADV_SIG_BRIDGE_TUN_MODES_HELPTEXT            :启用桥梁和隧道信号模拟的高级模式。禁用后，不能将不在高级模式下的桥梁/隧道更改为高级模式，但其他玩家可以选择启用此设置并使用高级模式。

STR_CONFIG_SETTING_SORT_TRACK_TYPES_BY_SPEED                    :以最高速度排序轨道类型：{STRING}
STR_CONFIG_SETTING_SORT_TRACK_TYPES_BY_SPEED_HELPTEXT           :以兼容性和速度排序轨道并代替默认排序

STR_CONFIG_SETTING_MAX_SIGNAL_EVALUATIONS                       :被允许的可编程逻辑信号的同时改变的最大数量：{STRING}
STR_CONFIG_SETTING_MAX_SIGNAL_EVALUATIONS_HELPTEXT              :设置被允许的可编程逻辑信号的同时改变的最大数量

STR_CONFIG_SETTING_RAINFORESTLINE_HEIGHT                        :雨林线高度：{STRING}
