STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :Превосходный
STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER_HELPTEXT            :Если эта функция включена, то многопользовательские клиенты, не являющиеся администраторами и зрителями, смогут переименовывать города. Это всегда доступно в одиночной игре, а также администратору многопользовательского сервера.

STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER           :Позволить многопользовательским клиентам изменять настройки города: {STRING}
STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER_HELPTEXT  :Если эта функция включена, то многопользовательские клиенты, не являющиеся администраторами и зрителями, смогут изменять настройки каждого конкретного города. Это всегда доступно в одиночной игре, а также администратору многопользовательского сервера.

STR_CONFIG_SETTING_CATCHMENT_INCREASE                           :Увеличить охват станции на: {STRING}
STR_CONFIG_SETTING_CATCHMENT_INCREASE_HELPTEXT                  :Увеличить область, обслуживаемую станцией, на указанное число клеток.

STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME         :Отношение станций к времени ожидания зависит от класса груза: {STRING}
STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME_HELPTEXT:Если включено, то время ожидания с момента последнего получения груза влияет на рейтинг станции для этого груза в зависимости от класса груза. Пассажиры, почта, ценности, рефрижераторные грузы и экспресс-грузы в разной степени менее терпимы к ожиданию. Наливные и жидкие грузы более терпимы.

STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT             :Вместимость станции и допустимый рейтинг зависят от её размера: {STRING}
STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT_HELPTEXT    :Если включено, то вместимость станций перед ожиданием груза усекается, и влияние количества ожидающего груза на рейтинг станции для этого груза зависит от размера станции. Более крупные станции могут хранить больше грузов и более терпимы к большому количеству ожидающих грузов.

STR_CONFIG_SETTING_CARGO_DELIVERY_MODE                          :Распределение доставленных грузов: {STRING}
STR_CONFIG_SETTING_CARGO_DELIVERY_MODE_HELPTEXT                 :Каким должно быть распределение прибывших на станцию грузов по предприятиям, расположенным в её зоне охвата. {}«Оригинальное» - распределяет все грузы по ближайшим предприятиям (измеряется от клетки со знаком станции).{}«Сбалансированное» - распределяет грузы поровну между всеми принимающими предприятиями в зоне охвата станции.

STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL                          :Модель торможения поездов: {STRING}
STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL_HELPTEXT                 :Настройка физической модели торможения поездов. «Оригинальная» позволяет поездам останавливаться мгновенно. При «реалистичной» модели у поездов появится тормозной путь, они будут соответствующе резервировать его и не смогут останавливаться мгновенно.{}{}«Реалистичная» модель имеет множество ограничений для сигнализации и проектирования путей, поэтому является продвинутой функцией, которая может не подойти новичкам. В частности, не допускаются предварительные и двусторонние сигналы, и везде используюся маршрутные семафоры.

STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED             :Реалистичное торможение поезда ограничено аспектами: {STRING}
STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED_HELPTEXT    :При реалистичной модели торможения поезда ограничить опережающее движение поездов аспектом сигналов (то есть запретить резервировать и опережать неограниченное количество сигналов).{}Для этого необходимы NewGRF, которые обеспечивают многоаспектные сигналы.{}{}Это экспертная настройка, которая, вероятно, повысит сложность игры и потребует дополнительных размышлений о типах и размещении сигналов.

STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION                     :Ограничение ускорения поезда: {STRING}
STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION_HELPTEXT            :При использовании реалистичной модели торможения поездов также ограничьте максимальное ускорение поездов. Это необходимо для того, чтобы пассажиры не пролили свои напитки из-за чрезмерно быстрого ускорения некоторых типов поездов.

STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT                    :Коэффициент масштабирования ускорения/торможения поезда: {STRING}
STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT_HELPTEXT           :Процент, на который регулируется ускорение и торможение поезда.{}{}Эта настройка может использоваться для изменения ускорения и торможения поездов без изменения их максимальной скорости.
STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT_VALUE              :{COMMA}%

STR_CONFIG_SETTING_TRACK_EDIT_IGNORE_REALISTIC_BRAKING          :Редактирование путей игнорирует реалистичное торможение: {STRING}
STR_CONFIG_SETTING_TRACK_EDIT_IGNORE_REALISTIC_BRAKING_HELPTEXT :Разрешить редактировать пути, игнорируя реалистичную модель торможения поезда. Если включено, ограничения на редактирование/снятие резервирования движущихся поездов не применяются. Это может привести к нереалистичному поведению поезда при торможении.

STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT                     :Максимальная скорость поездов при сквозной погрузе: {STRING}
STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT_HELPTEXT            :Максимальная разрешенная скорость движения поездов при сквозной погрузке на станции

STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT                       :Максимальная скорость в железнодорожном депо: {STRING}
STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT_HELPTEXT              :Максимальная разрешённая скорость движения поездов при въезде или выезде из железнодорожного депо

STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME                :Неведущие локомотивы сохраняют пользовательские имена: {STRING}
STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME_HELPTEXT       :Должны ли локомотивы сохранять своё пользовательское название при перемещении на не ведущую позицию в составе поезда

STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING                :Поиск пути до обратных сигналов одностороннего пути: {STRING}
STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING_HELPTEXT       :Если включено, алгоритм поиска пути для поездов сможет находить пути до задней части сигнала одностороннего пути.

STR_CONFIG_SETTING_INFLATION_FIXED_DATES                        :Разрешить инфляцию с 1920 до 2090: {STRING}
STR_CONFIG_SETTING_INFLATION_FIXED_DATES_HELPTEXT               :Если включено, то инфляция всегда применяется с 1920 до 2090 года, вне зависимости от даты начала игры. Эта модель инфляции используется с OpenTTD версии 1.11.{}Если отключено, то инфляция будет применяться с даты начала игры в течение 170 лет. Эта модель инфляции использовалась в OpenTTD до версии 1.10.

STR_CONFIG_SETTING_IMPROVED_BREAKDOWNS                          :Включить улучшенные поломки: {STRING}

STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE                     :Корабли избегают столкновений: {STRING}
STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE_HELPTEXT            :Если включено, то корабли будут пытаться не проходить через друг друга. Наилучшие результаты достигаются при запрете поворотов на 90°.

STR_CONFIG_SETTING_CHUNNEL                                      :Разрешить строительство туннелей под водой: {STRING}
STR_CONFIG_SETTING_CHUNNEL_HELPTEXT                             :Если включено, то туннели можно будет прокладывать под водоёмами на уровне моря. На каждом конце туннеля зазор между туннелем и береговой клеткой должен составлять {NUM} и {NUM} клеток.

STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY                 :Поезда разных компаний не смогут врезаться друг в друга: {STRING}
STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY_HELPTEXT        :Эта настройка предназначена в первую очередь для того, чтобы игроки намеренно не вызывали крушения поездов других компаний в многопользовательских играх с совместным использованием железнодорожной инфраструктуры.

STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING               :Сочленённые автотранспорты могут совершать обгон: {STRING}
STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING_HELPTEXT      :Позволить сочленённым дорожным траспортным средствам обгонять другие.

STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL                  :Автотранспорты не проходят друг через друга при блокировке: {STRING}
STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL_HELPTEXT         :Запретить проезд одних дорожных транспортных средств через другие, если их путь перекрыт в течение длительного периода времени.

STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT                    :Проходные железнодорожные депо: {STRING}
STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT_HELPTEXT           :Включить эмуляцию проходных железнодорожных депо. Поезда могут перемещаться между депо, расположенными друг за другом, опционально с промежуточными депо между ними.

STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE                :Оповещать, если поезд застрял из-за ограничения маршрута: {STRING}
STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE_HELPTEXT       :Запуск сообщений о поездах, которые застряли в ожидании у маршрутного семафора на долгое время из-за ограничения маршрута

STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER                          :Предупреждать, если у транспорта нет задания посетить депо: {STRING}
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_HELPTEXT                 :Если эта функция включена, а также если включен просмотр заказов на транспортные средства, то будет показываться новостное сообщение, если поезд, автотранспорт или судно не имеет в своём расписании задания посетить депо.
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_IF_BREAKDOWNS_ON         :только если включены поломки

STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER                     :Срок эксплуатации транспортных средств не истекает после: {STRING}
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_HELPTEXT            :Транспортные средства, у которых срок эксплуатации закончился бы в указаном году, будут доступны всегда.{}Снижение надёжности двигателя также прекращается по пришествию указаного года.
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_VALUE               :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_ZERO                :Отключено

STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER                  :Запретить транспорт, выпущенный после: {STRING}
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_HELPTEXT         :Транспортные средства, которые должны быть выпущены в указаном или последующих годах, не появятся.
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_VALUE            :{NUM}
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_ZERO             :Нет

STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR                        :Показывать год выпуска вагона в окне сборки транспортного средства: {STRING}
STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR_HELPTEXT               :Добавить ли строку в окно создания транспортного средства, показывающую год выпуска вагонов поезда.

STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS                 :Показывать длину поезда в сведениях: {STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS_HELPTEXT        :Демонстрировать длину поезда в окне сведений о транспортном средстве

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS                :Показывать группу транспортных средств в сведениях: {STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS_HELPTEXT       :Отображать название группы транспортных средств в окне сведений о транспортном средстве

STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS          :Показывать соотношение веса поезда в сведениях: {STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS_HELPTEXT :Демонстрировать соотношение веса поезда в окне сведений о транспортном средстве

STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR                 :Отображать сигналы ограничения по умолчанию синими сигнальными столбиками: {STRING}
STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR_HELPTEXT        :При использовании графики сигналов по умолчанию электрические сигналы с программами ограничения маршрутизации отображаются синим сигнальным столбиком. Не влияет на графику сигналов из NewGRF. Это сделано для того, чтобы легче было визуально различать запрещённые сигналы.

STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF                             :Показывать все сигналы, используя графику по умолчанию: {STRING}
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT                    :Показывать все сигналы, используя графику сигналов по умолчанию, вместо любой графики сигналов из NewGRF. Необходимо для того, чтобы было проще определить состояние и тип сигналов, если в NewGRF представлены нечеткие или недоступные сигнальные графики.
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT_EXTRA              :{STRING}{}Режим «Только для запрещённых сигналов» использует графику сигналов по умолчанию для электрических сигналов с подключенными программами ограничения маршрутизации, когда перекрашивание сигнальных столбиков включено и NewGRF не обрабатывает различные графики для сигналов с ограничением самостоятельно.
STR_CONFIG_SETTING_SHOW_ALL_SIG_RESTRICTED_RECOLOUR             :Только для запрещённых сигналов

STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES             :Показывать расширенные функции ограничения маршрутизации: {STRING}
STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES_HELPTEXT    :Показывать расширенные возможности ограничения маршрутизации. Если отключено, то некоторые расширенные возможности не будут отображаться в пользовательском интерфейсе, но останутся доступными всем игрокам.

STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES                        :Показывать программируемую функцию предварительного сигнала: {STRING}
STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES_HELPTEXT               :Показывать функцию программируемых предварительных сигналов. Если отключено, то кнопки для создания и настройки программируемых предварительных сигналов не не будут отображаться в пользовательском интерфейсе, но останутся доступными всем игрокам.

STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES                     :Показывать функцию сигнала запрета на въезд: {STRING}
STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES_HELPTEXT            :Показывать функцию сигнала запрета на въезд. Если отключено, то кнопки для создания и настройки сигналов запрета входа не будут отображаються в пользовательском интерфейсе, но останутся доступными всем игрокам.

STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES               :Показывать расширенные возможности режима загрузки: {STRING}
STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES_HELPTEXT      :Показывать расширенные возможности режима погрузки (сквозная загрузка/разгрузка, направление движения транспортных средств). Если отключено, то некоторые расширенные возможности режима загрузки не будут отображаться в пользовательском интерфейсе, но останутся доступными всем игрокам.

STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS            :Отключить кнопки массовых действий для списков транспортных средств верхнего уровня: {STRING}
STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS_HELPTEXT   :Отключить депо/сервис и кнопки запуска/остановки для всех транспортных средств и всех негруппированных списков транспортных средств. Это сделано для того, чтобы избежать негативных последствий случайного нажатия одной из этих кнопок.

STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI                          :Отображать функцию «отправить в депо/ангар и продать»: {STRING}
STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI_HELPTEXT                 :Отображать функцию для отправки транспортного средства в депо/ангар с последующей продажей. Если включено, то Ctrl+щелчок по кнопке «Перейти в депо» в окне транспортного средства позволит изменить режим работы текущего заказ на депо.

STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE                 :Открывать окно нового транспортного средства при клонировании с общими заказами: {STRING}
STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE_HELPTEXT        :Если включено, то при клонировании транспортного средства с общими заказами из окна депо открывается окно нового клонированного транспортного средства.

STR_CONFIG_SETTING_VEHICLE_NAMES                                :Схема названий транспортов: {STRING}
STR_CONFIG_SETTING_VEHICLE_NAMES_HELPTEXT                       :Выберите схему для названий транспортных средств. Не относится к транспортным средствам с пользовательскими названиями.
STR_CONFIG_SETTING_VEHICLE_NAMES_TRADITIONAL                    :Оригинальная
STR_CONFIG_SETTING_VEHICLE_NAMES_MODERN                         :Современная
STR_CONFIG_SETTING_VEHICLE_NAMES_LONG                           :Длинная

STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES                       :Затенять деревья на склонах: {STRING}
STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES_HELPTEXT              :Изменить яркость деревьев, растущих на склонах. Улучшает внешний вид лесного покрова в горных районах.

STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE                        :Спрашивать перед сносом строений: {STRING}
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_HELPTEXT               :Запрашивать подтверждение перед необратимым сносом строений.
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_OFF                    :Отключено
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_INDUSTRY               :Предприятия
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_ALL                    :Предприятия и железнодорожные станции

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW              :Разделять вагоны и локомотивы в окне покупки поездов: {STRING}
STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_HELPTEXT     :Если включено, то в окне покупки поездов вагоны и локомотивы будут показаны в отдельных боковых списках.

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_DUAL_BUTTONS :Отображать отдельные наборы кнопок в окне покупки поезда: {STRING}
STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_DUAL_BUTTONS_HELPTEXT:Если включено, то списки вагонов и локомотивов в окне покупки поездов будут иметь свой собственный набор кнопок.

STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL                    :Скрывать метки в окне просмотра путевых точек: {STRING}
STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL_HELPTEXT           :Если включено, то ярлыки путевых точек могут быть скрыты по отдельности.{}Полезно, когда незначительные путевые точки не требуют обозначения или путевые точки используются декоративно.

STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION                      :Отключать анимацию воды: {STRING}
