STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完善
STR_UNITS_PRODUCTION_INTERVALS                                  :{NUM}{NBSP}生產週期

STR_BUTTON_RENAME                                               :{BLACK}重新命名

STR_MEASURE_DIST_HEIGHTDIFF                                     :{BLACK}曼哈頓距離：{NUM}{}直線距離：{NUM}{}最近邊距離：{NUM}{}海平面高度：{HEIGHT}{}高度差：{HEIGHT}

STR_SORT_BY_PROFIT_LIFETIME                                     :總利潤
STR_SORT_BY_AVG_ORDER_OCCUPANCY                                 :平均運載率
STR_SORT_BY_MAX_SPEED_LOADED                                    :滿載最高速度
STR_SORT_BY_VEHICLES_CALLING                                    :班次調度總數
STR_SORT_BY_CARGO_CAPACITY_VS_RUNNING_COST                      :貨物容量/運行費用
STR_SORT_BY_VEHICLE_COUNT                                       :總車廂數

STR_SETTINGS_MENU_ZONING                                        :分區

STR_SETTINGS_MENU_MONEY_TEXT_EFFECTS                            :顯示收入/支出明細
STR_SETTINGS_MENU_SHOW_HIDDEN_SIGNS                             :隱藏所顯示的標誌名稱

STR_MAP_MENU_PLAN_LIST                                          :計劃清單

STR_VEHICLE_TYPE_TRAINS                                         :列車
STR_VEHICLE_TYPE_ROAD_VEHICLES                                  :汽車
STR_VEHICLE_TYPE_SHIPS                                          :船舶
STR_VEHICLE_TYPE_AIRCRAFT                                       :飛機

STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_SPEED                     :{TINY_FONT}{BLACK}平均運輸時間（{STRING}）
STR_GRAPH_CARGO_PAYMENT_RATES_TITLE_AVG_SPEED                   :{TINY_FONT}{BLACK}將 1 單位（或 1,000 升）貨物運輸 200 格的收入
STR_GRAPH_CARGO_PAYMENT_RATES_X_LABEL_MINUTES                   :{TINY_FONT}{BLACK}運輸分鐘數
STR_GRAPH_STATION_CARGO_CAPTION                                 :{WHITE}{STATION} - 滯留貨物記錄
STR_GRAPH_STATION_CARGO_TITLE                                   :{TINY_FONT}{BLACK}站內滯留貨物單位

STR_GRAPH_CARGO_SPEED_MODE                                      :{TINY_FONT}{BLACK}平均速度
STR_GRAPH_CARGO_TOOLTIP_TIME_MODE                               :{BLACK}在圖表橫軸顯示運輸所需時間
STR_GRAPH_CARGO_TOOLTIP_SPEED_MODE                              :{BLACK}在圖表橫軸顯示平均運輸速度

STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE                       :{TINY_FONT}{BLACK}公司
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE                         :{TINY_FONT}{BLACK}貨物
STR_GRAPH_DELIVERED_CARGO_BY_COMPANY_MODE_TOOLTIP               :{BLACK}顯示每間公司的總運輸量
STR_GRAPH_DELIVERED_CARGO_BY_CARGO_MODE_TOOLTIP                 :{BLACK}顯示每種貨物的總運輸量

STR_GRAPH_LAST_24_PRODUCTION_INTERVALS_TIME_LABEL               :{TINY_FONT}{BLACK}過去 24 個生產週期
STR_GRAPH_LAST_72_PRODUCTION_INTERVALS_TIME_LABEL               :{TINY_FONT}{BLACK}過去 72 個生產週期

STR_SMALLMAP_SCREENSHOT                                         :{BLACK}截圖

STR_NEWS_VEHICLE_NO_DEPOT_ORDER                                 :{WHITE}{VEHICLE} 的調度任務中沒有車廠
STR_NEWS_TRAIN_OVERSHOT_STATION                                 :{WHITE}{VEHICLE} 由於超速導致未能停於 {STRING}

STR_NEWS_ROAD_REBUILDING_PERIODS                                :{BIG_FONT}{BLACK}在 {TOWN} 內出現交通混亂！{}{}由 {STRING} 贊助的道路重建計劃給司機帶來了長達半週期的交通阻塞痛苦！
STR_NEWS_EXCLUSIVE_RIGHTS_DESCRIPTION_PERIOD                    :{BIG_FONT}{BLACK}{TOWN} 地方政府與 {STRING} 簽署了為期一週期的專營契約！

STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM_LABEL   :自訂週期（現實分鐘）
STR_GAME_OPTIONS_AUTOSAVE_MINUTES_QUERY_CAPT                    :{WHITE}以現實分鐘計的自動儲存的週期

STR_CONFIG_SETTING_ADVISED_LEAVE_DEFAULT                        :建議將此設定保留為預設值

STR_CONFIG_SETTING_TRAIN_BRAKING_REALISTIC                      :真實{PUSH_COLOUR}{RED}（專家）{POP_COLOUR}
STR_CONFIG_SETTING_TRAIN_BRAKING_ASPECT_LIMITED_ON              :開{PUSH_COLOUR}{RED}（專家、困難）{POP_COLOUR}

STR_CONFIG_SETTING_REALISTIC_BRAKING_SIGNALS_NOT_ALLOWED        :{WHITE}無法啟用真實制動，現存至少有一個邏輯號誌或雙向號誌。

STR_CONFIG_SETTING_DELIVERY_BALANCED                            :平衡

STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT                       :車廠內車輛運營費用：{STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_HELPTEXT              :設定不在站停放的車輛的維護及營運支出
STR_CONFIG_SETTING_RUNNING_COSTS_IN_DEPOT_VALUE                 :1 / {COMMA}

STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED                   :車站內車輛運營費用：{STRING}
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_HELPTEXT          :設定等候在車站中未停運車輛的維護及營運支出
STR_CONFIG_SETTING_RUNNING_COSTS_WHEN_STOPPED_VALUE             :1 / {COMMA}

STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER                      :多人連線玩家使用金錢作弊：{STRING}
STR_CONFIG_SETTING_MONEY_CHEAT_MULTIPLAYER_HELPTEXT             :啟用時允許多人連線玩家使用金錢作弊{}單人遊戲以及伺服器管理員始終啟用

STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER                     :多人連線玩家重新命名市鎮：{STRING}
STR_CONFIG_SETTING_RENAME_TOWNS_MULTIPLAYER_HELPTEXT            :啟用時允許多人連線玩家重新命名市鎮{}單人遊戲以及伺服器管理員始終啟用

STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER           :多人連線玩家重設市鎮設定：{STRING}
STR_CONFIG_SETTING_OVERRIDE_TOWN_SETTINGS_MULTIPLAYER_HELPTEXT  :啟用時允許多人連線玩家重設市鎮設定{}單人遊戲以及伺服器管理員始終啟用

STR_CONFIG_SETTING_CATCHMENT_INCREASE                           :增加車站覆蓋半徑：{STRING}
STR_CONFIG_SETTING_CATCHMENT_INCREASE_HELPTEXT                  :增加此格數的車站覆蓋半徑

STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME         :貨物類別影響車站評價及時間寬容度：{STRING}
STR_CONFIG_SETTING_STATION_RATING_CARGO_CLASS_WAIT_TIME_HELPTEXT:啟用時貨物的類別將影響車站評價{}乘客、郵件、貴重品、食物和貨物將要求更短的等候時間，散裝和液體貨物更為寬容

STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT             :車站大小影響車站容量及時間寬容度：{STRING}
STR_CONFIG_SETTING_STATION_RATING_SIZE_CARGO_AMOUNT_HELPTEXT    :啟用時則車站大小將影響車站評價{}更大的車站可以儲存更多的貨物並有更大的時間寬容度

STR_CONFIG_SETTING_CARGO_DELIVERY_MODE                          :貨物分配模式：{STRING}
STR_CONFIG_SETTING_CARGO_DELIVERY_MODE_HELPTEXT                 :向周邊工業分配貨物的方法

STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL                          :列車制動模型：{STRING}
STR_CONFIG_SETTING_TRAIN_BRAKING_MODEL_HELPTEXT                 :選擇列車制動的物理模型。「原版」模型允許列車立即停止。在「真實」模型中，列車擁有停止距離並需要供停止用的預留量，且無法立即停車{}{}「真實」模型對於號誌和軌道的布局設計有顯著的影響{}{PUSH_COLOUR}{GOLD}在此模式下只能使用路徑號誌{POP_COLOUR} #TODO

STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED             :制動方向限制：{STRING}
STR_CONFIG_SETTING_REALISTIC_BRAKING_ASPECT_LIMITED_HELPTEXT    :在真實列車制動模型中，在號誌方向限制列車的前方觀察能力（即，不允許觀察和預測前方的無限數量的號誌）{}這需要 NewGRF 提供多相號誌{}{}這是一個進階設定並將增加遊戲難度，需要考慮號誌類型及其放置位置

STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION                     :限制列車加速：{STRING}
STR_CONFIG_SETTING_LIMIT_TRAIN_ACCELERATION_HELPTEXT            :在使用真實列車減速模型時，同時限制列車的最大加速度

STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT                    :列車加速/制動縮放因數：{STRING}
STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT_HELPTEXT           :列車加速制動的調整比例。{}{}該設定可以在不改變列車最高速度的情況下，用於調整列車的加速和制動。
STR_CONFIG_SETTING_TRAIN_ACC_BRAKING_PERCENT_VALUE              :{COMMA}%

STR_CONFIG_SETTING_TRACK_EDIT_IGNORE_REALISTIC_BRAKING          :修改軌道時忽略真實制動：{STRING}
STR_CONFIG_SETTING_TRACK_EDIT_IGNORE_REALISTIC_BRAKING_HELPTEXT :允許在修改軌道時忽略真實制動。啟用後將不會強制根據軌道使用情況而禁止修改軌道。這可能會導致不真實的列車制動行為。

STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT                     :通過裝載式最高速度：{STRING}
STR_CONFIG_SETTING_THROUGH_LOAD_SPEED_LIMIT_HELPTEXT            :列車在車站通過裝載時的最高允許速度

STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT                       :鐵道機廠最高速度：{STRING}
STR_CONFIG_SETTING_RAIL_DEPOT_SPEED_LIMIT_HELPTEXT              :列車進出機廠所允許的最高速度

STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME                :多機車列車保留自訂機車名稱：{STRING}
STR_CONFIG_SETTING_NON_LEADING_ENGINES_KEEP_NAME_HELPTEXT       :當一列列車中有多個機車時，保留其餘機車的自訂名稱

STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING                :尋路至單向路徑號誌的背面：{STRING}
STR_CONFIG_SETTING_BACK_ONE_WAY_PBS_SAFE_WAITING_HELPTEXT       :啟用之後允許 YAPF 尋路器尋路至單向路徑號誌的背面

STR_CONFIG_SETTING_INFLATION_FIXED_DATES                        :在 1920 年與 2090 年期間應用通貨膨脹：{STRING}
STR_CONFIG_SETTING_INFLATION_FIXED_DATES_HELPTEXT               :當啟用時，不管遊戲是在哪年進行的，通脹將在 1920 到 2090 年間始終持續，這是 OpenTTD 1.11 以來所使用的通脹模型{}如果停用，通脹將會在遊戲開始後 170 年裡不斷持續，這是一直使用到 OpenTTD 1.10 的模型

STR_CONFIG_SETTING_IMPROVED_BREAKDOWNS                          :啟用進階車輛故障：{STRING}

STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE                     :船舶之間避免沖突：{STRING}
STR_CONFIG_SETTING_SHIP_COLLISION_AVOIDANCE_HELPTEXT            :啟用時船舶將嘗試避免互相穿過。本項在禁止船舶 90 度轉向時效果最好

STR_CONFIG_SETTING_CHUNNEL                                      :允許建設海底隧道：{STRING}
STR_CONFIG_SETTING_CHUNNEL_HELPTEXT                             :啟用後可以在海平面下建設隧道。建設時隧道兩端必須有寬度在 {NUM} 與 {NUM} 格之間的空間

STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY                 :不同公司列車不會互相碰撞：{STRING}
STR_CONFIG_SETTING_NO_TRAIN_CRASH_OTHER_COMPANY_HELPTEXT        :這是為了防止白目玩家故意在多人遊戲中撞毀他人的列車

STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING               :允許鉸鏈式道路車輛超車：{STRING}
STR_CONFIG_SETTING_ROADVEH_ARTICULATED_OVERTAKING_HELPTEXT      :允許鉸鏈式道路車輛超車

STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL                  :阻止道路車輛在堵車時穿越其他車輛：{STRING}
STR_CONFIG_SETTING_ROADVEH_CANT_QUANTUM_TUNNEL_HELPTEXT         :即使道路長時間堵車也不允許道路車輛穿越其他的道路車輛

STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT                    :直通車輛段：{STRING}
STR_CONFIG_SETTING_DRIVE_THROUGH_TRAIN_DEPOT_HELPTEXT           :啟用直通車輛段{}列車可以在背對背的兩個機廠之間穿越，並且可以穿越兩個機廠之間的所有機廠{}這需要啟用 YAPF 尋路器

STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE                :在列車因為尋路限制長時間等待時提示：{STRING}
STR_CONFIG_SETTING_WARN_RESTRICTION_WAIT_VEHICLE_HELPTEXT       :當被啟用時，如果列車長時間在路徑號誌處等待，發送提示

STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER                          :在車輛沒有回廠任務時提示：{STRING}
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_HELPTEXT                 :啟用時，若車輛故障已開啟，則在列車、汽車、船舶的時刻表中沒有回廠任務時發出提示
STR_CONFIG_SETTING_WARN_NO_DEPOT_ORDER_IF_BREAKDOWNS_ON         :如果車輛故障已開啟

STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER                     :車輛在 {STRING} 年後不會退役
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_HELPTEXT            :在此年份及之後退役的車輛將不會退役。{}發動機可靠性的衰退也會停止。
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_VALUE               :{NUM}
STR_CONFIG_SETTING_NO_EXPIRE_VEHICLES_AFTER_ZERO                :關

STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER                  :車輛在 {STRING} 年後不會推出
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_HELPTEXT         :在此年份及之後發明的車輛將不會被發明。
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_VALUE            :{NUM}
STR_CONFIG_SETTING_NO_INTRODUCE_VEHICLES_AFTER_ZERO             :關

STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR                        :在車輛製作視窗中展示車廂發售年份：{STRING}
STR_CONFIG_SETTING_SHOW_WAGON_INTRO_YEAR_HELPTEXT               :在車輛製作視窗增加一行，顯示車廂的發售年份

STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS                 :在車輛詳細資訊視窗顯示長度：{STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_LENGTH_IN_DETAILS_HELPTEXT        :在車輛詳細資訊視窗顯示其長度

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS                :在車輛詳細資訊視窗顯示其所在群組：{STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_IN_DETAILS_HELPTEXT       :在車輛詳細資訊頁面顯示其所在群組的名稱

STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS          :在列車詳細資訊視窗顯示列車重量比：{STRING}
STR_CONFIG_SETTING_SHOW_TRAIN_WEIGHT_RATIOS_IN_DETAILS_HELPTEXT :在列車詳細資訊視窗顯示列車重量比

STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR                 :顯示預設的限制號誌（帶藍色號誌桿）：{STRING}
STR_CONFIG_SETTING_SHOW_RESTRICTED_SIG_RECOLOUR_HELPTEXT        :當使用預設號誌圖形時，帶有尋路限制邏輯的電力號誌將顯示藍色號誌桿。這不會影響 NewGRF 號誌圖形。這樣可以更容易地從視覺上區分限制號誌。

STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF                             :使用預設圖形顯示所有號誌：{STRING}
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT                    :使用預設號誌圖形顯示所有號誌，而不是使用任何 NewGRF 號誌圖形。當 NewGRF 提供的號誌圖形不清晰或無法訪問時，這樣可以更容易看到號誌的狀態和類型。
STR_CONFIG_SETTING_SHOW_ALL_SIG_DEF_HELPTEXT_EXTRA              :{STRING}{}「僅尋路限制號誌」模式在啟用號誌柱重新著色且 NewGRF 本身不處理尋路限制號誌的不同圖形時，使用預設圖像顯示此種號誌。
STR_CONFIG_SETTING_SHOW_ALL_SIG_RESTRICTED_RECOLOUR             :僅尋路限制號誌

STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES             :顯示進階尋路限制功能：{STRING}
STR_CONFIG_SETTING_SHOW_ADV_TRACE_RESTRICT_FEATURES_HELPTEXT    :顯示進階尋路限制功能。停用時，某些進階功能不會在界面中顯示，但所有玩家仍然可以使用。

STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES                        :顯示可編程邏輯號誌功能：{STRING}
STR_CONFIG_SETTING_SHOW_PROGSIG_FEATURES_HELPTEXT               :顯示可編程邏輯號誌功能。停用時，構建和配置可編程邏輯號誌的按鈕不會在界面中顯示，但所有玩家仍然可以使用。

STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES                     :顯示禁止進入號誌功能：{STRING}
STR_CONFIG_SETTING_SHOW_NOENTRYSIG_FEATURES_HELPTEXT            :顯示禁止進入號誌功能。停用時，構建和配置禁止進入號誌的按鈕不會在界面中顯示，但所有玩家仍然可以使用。

STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES               :顯示進階裝載模式功能：{STRING}
STR_CONFIG_SETTING_SHOW_ADV_LOADING_MODE_FEATURES_HELPTEXT      :展示進階裝載模式功能（通過式裝載/卸載、汽車方向等）{}當停用時，一些進階裝載模式功能將不會在使用者界面中展示，但仍可用

STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS            :停用初階車輛清單的批量操作按鈕：{STRING}
STR_CONFIG_SETTING_DISABLE_TOP_VEH_LIST_MASS_ACTIONS_HELPTEXT   :停用本項「所有車輛」與「未分類群組車輛」清單的部分按鈕，包括「啟停車輛」與「前往車廠」。本項旨在防止誤操作帶來的問題。

STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI                          :顯示回廠並賣出功能：{STRING}
STR_CONFIG_SETTING_SHOW_DEPOT_SELL_GUI_HELPTEXT                 :顯示回廠並賣出功能，開啟之後按住 <Ctrl> 鍵點擊回廠就可改變當前回廠任務模式

STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE                 :共享調度任務的克隆結束後開啟新的車輛視窗：{STRING}
STR_CONFIG_SETTING_OPEN_VEHICLE_GUI_CLONE_SHARE_HELPTEXT        :若已啟用，則當在車廠視窗克隆了一輛具有共享調度任務的車輛時開啟新克隆的車輛的詳細資訊視窗

STR_CONFIG_SETTING_VEHICLE_NAMES                                :車輛名稱：{STRING}
STR_CONFIG_SETTING_VEHICLE_NAMES_HELPTEXT                       :設定車輛名稱使用的命名方案{}這不適用於有自訂名稱的車輛
STR_CONFIG_SETTING_VEHICLE_NAMES_TRADITIONAL                    :原版
STR_CONFIG_SETTING_VEHICLE_NAMES_MODERN                         :現代
STR_CONFIG_SETTING_VEHICLE_NAMES_LONG                           :較長

STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES                       :給斜坡上的樹加強陰影：{STRING}
STR_CONFIG_SETTING_SHADED_TREES_ON_SLOPES_HELPTEXT              :使在較暗斜坡上的樹木具有較深的顏色{}這有助於改善樹木在山脈地區的觀感表現

STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE                        :在摧毀建築物前先詢問：{STRING}
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_HELPTEXT               :在摧毀部分重要建築物之前先詢問
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_OFF                    :關閉
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_INDUSTRY               :工業
STR_CONFIG_SETTING_DEMOLISH_CONFIRM_MODE_ALL                    :工業及鐵道車站

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW              :將機車與車廂在列車購買視窗中分開：{STRING}
STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_HELPTEXT     :啟用後列車購買視窗在分開的兩欄清單中分別展示機車和車廂

STR_CONFIG_SETTING_DUAL_PANE_TRAIN_PURCHASE_WINDOW_DUAL_BUTTONS :分別在列車購買視窗展示按鈕群組：{STRING}

STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL                    :隱藏號誌站標簽：{STRING}
STR_CONFIG_SETTING_ALLOW_HIDE_WAYPOINT_LABEL_HELPTEXT           :啟用後可以在號誌站視窗選擇隱藏號誌站名稱{}這在號誌站僅用於裝飾時可以改善觀感

STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION                      :停用水體動畫：{STRING}
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_HELPTEXT             :啟用後在當前縮放大小是原始縮放大小縮放等級之外的情況下停用水體動畫效果{}啟用之後可以防止在高倍縮放下的水體閃爍
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_8X                   :8 倍縮放及以上
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_16X                  :16 倍縮放及以上
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_32X                  :32 倍縮放及以上

STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT              :預設顯示調度使用情況：{STRING}
STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT_HELPTEXT     :開啟車輛的調度任務視窗時預設顯示每個調度的使用率

STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME                    :在名稱中顯示群組層級：{STRING}
STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME_HELPTEXT           :啟用後，群組名稱將包括所有上層群組名稱

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME            :在車輛名稱中顯示群組層級：{STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME_HELPTEXT   :啟用後，車輛名稱將包括所有上層群組名稱

STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW            :在車輛視窗中顯示當前調度順序：{STRING}
STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW_HELPTEXT   :啟用後將在車輛狀態欄中顯示車輛當前調度的順序

STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW             :在車輛視圖視窗中先顯示速度：{STRING}
STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW_HELPTEXT    :啟用後，在車輛視圖視窗的啟動/停止欄中先顯示車輛速度，然後顯示目的地。

STR_CONFIG_SETTING_SHORTEN_STATUS_VEHICLE_VIEW                  :縮短狀態車輛視圖視窗：{STRING}
STR_CONFIG_SETTING_SHORTEN_STATUS_VEHICLE_VIEW_HELPTEXT         :啟用後，縮短用於顯示目的地的文本，在車輛檢視視窗的啟動/停止欄中顯示。

STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION                   :隱藏預設命令停止位置：{STRING}
STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION_HELPTEXT          :啟用後，當命令停止位置與預設位置相同時，隱藏該位置。

STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL                              :顯示鐵道多段線工具：{STRING}
STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL_HELPTEXT                     :啟用後，鐵道建設工具欄中包含一個按鈕，用於使用多段線模式建設。

STR_CONFIG_SHOW_VEHICLE_RUNNING_COSTS_CALENDAR_YEAR             :使用日曆年或週期顯示車輛運行成本：{STRING}
STR_CONFIG_SHOW_VEHICLE_RUNNING_COSTS_CALENDAR_YEAR_HELPTEXT    :當使用大於一的經濟速度因數時，使用日曆年（日曆計時模式）或週期（掛鐘計時模式）顯示車輛運行成本，而不是使用「原初年」顯示。

STR_CONFIG_SETTING_ADV_SIG_BRIDGE_TUN_MODES                     :啟用大橋和隧道號誌進階模式：{STRING}
STR_CONFIG_SETTING_ADV_SIG_BRIDGE_TUN_MODES_HELPTEXT            :啟用大橋和隧道號誌模擬的進階模式。停用後，不能將不在進階模式下的大橋或隧道更改為進階模式，但其他玩家可以選擇啟用此設定並使用進階模式。

STR_CONFIG_SETTING_SORT_TRACK_TYPES_BY_SPEED                    :以最高速度排序軌道類型：{STRING}
STR_CONFIG_SETTING_SORT_TRACK_TYPES_BY_SPEED_HELPTEXT           :以兼容性和速度排序軌道並代替預設排序

